gene_name,name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name
GZMB,row_042,1.544148917693651e-05,0.0031135657267677436,20.45071307471898,1,110.65603492860318,-3.5184385648108196,GZMB
RPL27A,row_022,1.3605319350397974e-05,0.0031135657267677436,20.738362883258823,1,110.65603492860318,-2.4586405343953563,RPL27A
RPL31,row_095,1.5330702324063585e-05,0.0031135657267677436,20.467052631552793,1,110.65603492860318,-1.6401586121523224,RPL31
PPP1R10,row_2145,1.4828573388053634e-05,0.0031135657267677436,20.54265470648567,1,110.65603492860318,1.3566230527093115,PPP1R10
SNHG15,row_745,1.4527772442755231e-05,0.0031135657267677436,20.589207384350622,1,110.65603492860318,1.5264169892531074,SNHG15
NSMCE3,row_604,1.4447498030370188e-05,0.0031135657267677436,20.60179737445397,1,110.65603492860318,1.7726026497467275,NSMCE3
PPFIBP1,row_656,1.4780637016313087e-05,0.0031135657267677436,20.55000847312349,1,110.65603492860318,4.009007972271489,PPFIBP1
SERF2,row_626,1.793617780456845e-05,0.0035102155032823083,20.1114477575256,1,110.65603492860318,-0.4697438845728064,SERF2
TUBB2A,row_1901,2.1389522811984068e-05,0.004066453851169771,19.713973217175432,1,110.65603492860318,2.886884691946538,TUBB2A
TIFA,row_685,2.5111523447783484e-05,0.004509642675527217,19.35317277229433,1,110.65603492860318,-3.091107185416474,TIFA
S1PR5,row_150,2.448774442219498e-05,0.004509642675527217,19.409660606258452,1,110.65603492860318,-2.8773201275334177,S1PR5
BCAS2,row_412,2.5753895652244403e-05,0.004509642675527217,19.29648071631527,1,110.65603492860318,1.1666533502355636,BCAS2
PPP2R5C,row_1667,2.7329588896510158e-05,0.00456639216397541,19.16332224104946,1,110.65603492860318,-1.8148032345405816,PPP2R5C
EIF3E,row_3619,2.7450508950859098e-05,0.00456639216397541,19.153429907429228,1,110.65603492860318,-1.0656723745433319,EIF3E
FOS,row_006,3.0659553558950494e-05,0.004975821204420892,18.906009413391,1,110.65603492860318,1.55570798022522,FOS
GRAMD1A,row_3797,3.4963942141124445e-05,0.005539287404929572,18.612800595881453,1,110.65603492860318,1.4954105530101365,GRAMD1A
KDM5B,row_927,5.744667006684014e-05,0.008889538200575682,17.512366892693905,1,110.65603492860318,1.702154942339096,KDM5B
RPL38,row_830,5.952505554676989e-05,0.009001811809277428,17.43407660753147,1,110.65603492860318,-1.1074140096740264,RPL38
RPL9,row_481,6.480037017228538e-05,0.009174077938859297,17.247280667595803,1,110.65603492860318,-0.8551498195620203,RPL9
PTGDR,row_4146,6.359934601053339e-05,0.009174077938859297,17.28840404617459,1,110.65603492860318,1.3234491750296296,PTGDR
AC124016.1,row_2791,6.338791782521224e-05,0.009174077938859297,17.29572556870984,1,110.65603492860318,2.6073314793350257,AC124016.1
RPS20,row_041,6.731519957686032e-05,0.00933156954134226,17.1636410314324,1,110.65603492860318,-3.1198541710709633,RPS20
CHKA,row_4162,6.88196604275294e-05,0.009345428989485318,17.115119585693698,1,110.65603492860318,2.546568048490556,CHKA
ISG20,row_183,8.289487740813754e-05,0.011031650285474945,16.70760873128673,1,110.65603492860318,-1.5185116230314142,ISG20
SEC62,row_2280,9.286770671475665e-05,0.011619125790891643,16.459690914453205,1,110.65603492860318,-1.0195970032564268,SEC62
H3F3B,row_518,9.429407765376446e-05,0.011619125790891643,16.426477054049,1,110.65603492860318,0.7842151523928231,H3F3B
IER2,row_025,9.178565748469968e-05,0.011619125790891643,16.485237176534035,1,110.65603492860318,1.2225400068940573,IER2
ECD,row_2515,9.17932428661527e-05,0.011619125790891643,16.4850570215258,1,110.65603492860318,1.6068078713154978,ECD
DUSP1,row_007,9.930477244647324e-05,0.011799534926050587,16.31374512073461,1,110.65603492860318,1.502020424511139,DUSP1
DNLZ,row_2898,9.863359335796159e-05,0.011799534926050587,16.32850340061879,1,110.65603492860318,5.202553810941245,DNLZ
SLC25A36,row_1761,0.00010272137887323406,0.01199136938635964,16.240167231340408,1,110.65603492860318,1.3459956018736385,SLC25A36
SLC38A2,row_1900,0.00010594712297129972,0.01201882290385017,16.172963167507348,1,110.65603492860318,1.142144522581051,SLC38A2
SNX18,row_1408,0.00010656906392052301,0.01201882290385017,16.160246940596537,1,110.65603492860318,1.5733121014887204,SNX18
IPO9-AS1,row_2146,0.0001096829390468491,0.012163837940295566,16.097701800220907,1,110.65603492860318,5.170994173899698,IPO9-AS1
GMFG,row_914,0.00011420314146461726,0.012457503332878086,16.010070823928647,1,110.65603492860318,-0.6799559783218955,GMFG
RPS11,row_317,0.00012537856551748177,0.013455951208924576,15.807812760622149,1,110.65603492860318,-1.3218866397687756,RPS11
CARD16,row_1824,0.0001308953358299532,0.013609024447070446,15.714675395982963,1,110.65603492860318,-0.8992124684580767,CARD16
AL118516.1,row_362,0.00012940429174983692,0.013609024447070446,15.739445883307194,1,110.65603492860318,1.7402156574647631,AL118516.1
CAMK1D,row_1426,0.00013687145042444164,0.014011425094218995,15.618213322267392,1,110.65603492860318,1.6487862490771703,CAMK1D
HNRNPA0,row_1189,0.00014492672297163062,0.01418150609784162,15.49480229370661,1,110.65603492860318,0.6725117065991273,HNRNPA0
FHL3,row_1823,0.00014100219085463645,0.01418150609784162,15.554026061774577,1,110.65603492860318,1.1374702678038722,FHL3
TOX2,row_2134,0.00014440716133451098,0.01418150609784162,15.502547856594479,1,110.65603492860318,1.1752905473169313,TOX2
SPP1,row_2937,0.00017632373102898765,0.017003740670534548,15.072907580573077,1,110.65603492860318,4.078711305433375,SPP1
CSKMT,row_2062,0.0001896030794574239,0.018023127010138553,14.91719237030951,1,110.65603492860318,1.8006627144465102,CSKMT
HIST1H1E,row_169,0.00019630370538766873,0.0183972514880218,14.842810645974517,1,110.65603492860318,1.537313448007862,HIST1H1E
IFI16,row_4497,0.00020576339997419342,0.019015967547615042,14.742114222104723,1,110.65603492860318,-1.034442382561677,IFI16
COX7C,row_394,0.00021372330745034876,0.01948102585992631,14.660991106092792,1,110.65603492860318,-0.5175573200665958,COX7C
RNF187,row_322,0.0002216891741021708,0.019934050871295194,14.582848962586922,1,110.65603492860318,2.108791746853819,RNF187
HGH1,row_4714,0.00022594679742276227,0.02004599986734747,14.542254900336431,1,110.65603492860318,2.4657647823595785,HGH1
LINC02256,row_406,0.00023758795281920354,0.02080145050077606,14.435142220424483,1,110.65603492860318,1.8088709300929549,LINC02256
EIF4A3,row_354,0.00025725712011332374,0.021946011246590465,14.265832033669303,1,110.65603492860318,1.3778006104286102,EIF4A3
NFKB1,row_207,0.00025545257390479547,0.021946011246590465,14.280802815002787,1,110.65603492860318,1.9139396072686061,NFKB1
RPL7,row_197,0.0002644374132683085,0.02227299427705474,14.207310929941457,1,110.65603492860318,-1.4883112789086876,RPL7
SMC4,row_693,0.00028379894474915644,0.02275178528145647,14.05728054352301,1,110.65603492860318,-1.83638519346939,SMC4
KRI1,row_779,0.00027489298880449103,0.02275178528145647,14.124945054042124,1,110.65603492860318,1.8111072517101927,KRI1
ZNF585A,row_1576,0.0002813860756541608,0.02275178528145647,14.075395393859615,1,110.65603492860318,2.067697170196903,ZNF585A
PTOV1,row_223,0.0002834556579531692,0.02275178528145647,14.059848148566937,1,110.65603492860318,2.07322656557037,PTOV1
GZMH,row_209,0.0002945138254463678,0.02332970231571585,13.97870004463146,1,110.65603492860318,-2.3715016112451752,GZMH
FCER1G,row_255,0.00030042586813045104,0.02351804384164731,13.936587774038186,1,110.65603492860318,-0.6296689875270425,FCER1G
RBBP6,row_425,0.00032061529567016815,0.02480667648127092,13.79892339530498,1,110.65603492860318,1.2805365178113461,RBBP6
CRIP1,row_126,0.0003255000230588979,0.024895139694642604,13.766951862495873,1,110.65603492860318,1.705808682106899,CRIP1
HIST1H2AG,row_1047,0.0003422113865964507,0.025875847345599803,13.661177660671108,1,110.65603492860318,2.312447368813397,HIST1H2AG
GBP2,row_1696,0.00042501334205493165,0.030415491728381896,13.204931203426911,1,110.65603492860318,-1.6519653207955485,GBP2
TNFSF14,row_333,0.00041348464078427903,0.030415491728381896,13.262692353544315,1,110.65603492860318,-1.106360545522709,TNFSF14
STK17A,row_356,0.00042510380684393094,0.030415491728381896,13.204484339518483,1,110.65603492860318,0.7643846360961776,STK17A
ZFYVE28,row_393,0.00041343269239796333,0.030415491728381896,13.262956348153885,1,110.65603492860318,2.8249044915122936,ZFYVE28
SCGB3A1,row_3617,0.0004183701546577973,0.030415491728381896,13.238015701777481,1,110.65603492860318,36.436938021215575,SCGB3A1
MT2A,row_110,0.0004601407510729758,0.031564706779789495,13.03836613895925,1,110.65603492860318,-1.8587075168940865,MT2A
HAVCR2,row_173,0.00045995880713726095,0.031564706779789495,13.039194815900983,1,110.65603492860318,-1.7444484910626616,HAVCR2
RACK1,row_601,0.00045656419402633055,0.031564706779789495,13.054717810914306,1,110.65603492860318,-0.4729533390829593,RACK1
ARHGEF1,row_1137,0.0004654406738537481,0.03160247187574326,13.014373660891922,1,110.65603492860318,0.8880920905074521,ARHGEF1
HOOK1,row_1989,0.00048145705431659573,0.03235974989315786,12.94353642384097,1,110.65603492860318,4.440131956059892,HOOK1
RPL35,row_608,0.0004947944455896601,0.03259764595003563,12.886369100261906,1,110.65603492860318,-0.5988295940389582,RPL35
SIAH2,row_431,0.0004906550343410842,0.03259764595003563,12.903940680184537,1,110.65603492860318,1.9544991995829264,SIAH2
EEF1G,row_100,0.0005169833643919498,0.03339812919091295,12.794678064047519,1,110.65603492860318,2.07106866815749,EEF1G
AC016405.3,row_2671,0.0005162506222839075,0.03339812919091295,12.797640960939964,1,110.65603492860318,2.8636284955947837,AC016405.3
CD300A,row_887,0.0005284032729603832,0.033807647868061445,12.749049800539398,1,110.65603492860318,-1.7876942979909674,CD300A
WDR5,row_3678,0.0005353537464918304,0.033926131706253713,12.721772004700169,1,110.65603492860318,2.3235346292358017,WDR5
RBM4,row_1096,0.0005408464908976759,0.03395087311729373,12.700471110934776,1,110.65603492860318,1.1347878825630093,RBM4
DBI,row_1925,0.0005557859967143172,0.034562617029318385,12.643640179402603,1,110.65603492860318,-0.7762231929292563,DBI
ID2,row_080,0.0005614480113590079,0.03459143581095221,12.622510229518337,1,110.65603492860318,-1.7339455141905,ID2
C6orf48,row_370,0.0005774095975942319,0.034945344511749285,12.564100772600689,1,110.65603492860318,-1.9440836077602388,C6orf48
TRAPPC5,row_637,0.0005776958064761679,0.034945344511749285,12.563068617134435,1,110.65603492860318,2.069459558126945,TRAPPC5
ATP5MPL,row_956,0.0006175218899704655,0.037017933836607904,12.424336594981263,1,110.65603492860318,-1.1920412411213723,ATP5MPL
TOMM7,row_474,0.0006323065410715923,0.03723334269283518,12.375160678762018,1,110.65603492860318,-0.5060062106780994,TOMM7
RPL17,row_106,0.0006309537283058221,0.03723334269283518,12.379611000664529,1,110.65603492860318,0.9189227253246602,RPL17
CLASRP,row_6043,0.0006494381760385568,0.037577057594439627,12.319634037502382,1,110.65603492860318,1.3689145781288425,CLASRP
HDAC9,row_1534,0.0006442425849906279,0.037577057594439627,12.336313400421528,1,110.65603492860318,1.5249270800264965,HDAC9
RPL23,row_073,0.0006774587339583186,0.038860434618609066,12.23197839310667,1,110.65603492860318,-1.4687949261863684,RPL23
PARP4,row_3574,0.0006870064355375114,0.03907128907749231,12.202958881521567,1,110.65603492860318,-3.22693226888529,PARP4
GBP4,row_5787,0.0007170441144205733,0.0400942145996176,12.114291642163478,1,110.65603492860318,-1.6659962384343077,GBP4
KCTD17,row_687,0.0007141153305051909,0.0400942145996176,12.122767538133875,1,110.65603492860318,2.433882717274823,KCTD17
AC087239.1,row_407,0.0007358433356916772,0.040802512964103504,12.060719230020506,1,110.65603492860318,1.8543606134647754,AC087239.1
ERCC5,row_505,0.0007437821776214723,0.040901872809035345,12.038516696314991,1,110.65603492860318,2.042084328367976,ERCC5
CHN2,row_603,0.0007505292403690338,0.040934602995209436,12.01983773055734,1,110.65603492860318,1.9932133171365647,CHN2
PRF1,row_817,0.0007872616324121382,0.04240113847970611,11.921079267833983,1,110.65603492860318,-1.0251450958517818,PRF1
UBE2S,row_419,0.0007918063956805,0.04240113847970611,11.90919058882259,1,110.65603492860318,1.533170825564749,UBE2S
LEF1,row_1469,0.000796534762543322,0.04240113847970611,11.89689580225675,1,110.65603492860318,3.3711757809174827,LEF1
KARS,row_4576,0.0008146059005806434,0.04301894970209207,11.85058806242475,1,110.65603492860318,-2.0611436842738384,KARS
BCAR3,row_3833,0.0008241932365806118,0.04318253382840466,11.82644696586953,1,110.65603492860318,3.9836530827790355,BCAR3
TUBA1A,row_172,0.0008506663286524251,0.04422135742854091,11.761256594640173,1,110.65603492860318,1.200028485249768,TUBA1A
PLPP5,row_2391,0.0008684217366363286,0.04479440492696225,11.718691269227564,1,110.65603492860318,1.3874063947141833,PLPP5
C4orf3,row_1089,0.0008963762523508343,0.04553043956597291,11.653455323883362,1,110.65603492860318,-0.6340561424509485,C4orf3
