gene_name,name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name
TRGC1,row_5456,3.205183048676675e-07,6.009718216268766e-05,27.755989565425526,1,225.97534048049383,-5.008556991527647,TRGC1
KLRC1,row_685,3.933073301957253e-07,7.194646284068146e-05,27.311829115506097,1,225.97534048049383,-4.980964228906601,KLRC1
EOMES,row_3511,4.577732299276876e-07,8.174521962994422e-05,26.98305843839369,1,225.97534048049383,-5.239088463264143,EOMES
CLEC12A,row_1165,4.887323386863988e-07,8.524401256158118e-05,26.841479290491872,1,225.97534048049383,-1.0803197872228383,CLEC12A
INKA2,row_6027,5.261123834325745e-07,8.967824717600702e-05,26.682155539893092,1,225.97534048049383,2.9697693538176844,INKA2
ITM2A,row_3884,6.133289199361609e-07,0.00010222148665602682,26.35098461055075,1,225.97534048049383,-2.027237227769088,ITM2A
GZMK,row_858,8.725658723338539e-07,0.00013932049141677824,25.591988404973442,1,225.97534048049383,-5.653127529165951,GZMK
RNASE3,row_1354,8.730750795451436e-07,0.00013932049141677824,25.590734855974095,1,225.97534048049383,-4.336528643340172,RNASE3
GZMA,row_266,1.0420876914367262e-06,0.0001628262017869885,25.21088681578701,1,225.97534048049383,-4.869019057946898,GZMA
S100A8,row_061,1.222463720004456e-06,0.00018336955800066842,24.86886640635739,1,225.97534048049383,-3.4128913989753475,S100A8
LRP1,row_2373,1.21650824901773e-06,0.00018336955800066842,24.879319890628356,1,225.97534048049383,-0.8594865542437381,LRP1
KLRD1,row_1348,1.403314201765438e-06,0.00019858219836303367,24.57378245456079,1,225.97534048049383,-3.446277196109713,KLRD1
SH2D2A,row_1877,1.3874525117550185e-06,0.00019858219836303367,24.598077127228247,1,225.97534048049383,-2.9940309501640874,SH2D2A
RHOU,row_4895,1.378963797332443e-06,0.00019858219836303367,24.611194590452566,1,225.97534048049383,-1.2221795281515564,RHOU
CD63,row_1763,1.5474052425068316e-06,0.0002149173947926155,24.36501508881002,1,225.97534048049383,-0.5068908706581129,CD63
CD8A,row_1136,1.6915645503970388e-06,0.00021873679530996193,24.174967176809748,1,225.97534048049383,-4.790843965220852,CD8A
MT1F,row_2781,1.6662089954029185e-06,0.00021873679530996193,24.20717672779912,1,225.97534048049383,-3.5759429990811076,MT1F
SELL,row_241,1.6368091760530058e-06,0.00021873679530996193,24.245150389414864,1,225.97534048049383,-1.1149451008051965,SELL
FYN,row_2717,1.6101064143925638e-06,0.00021873679530996193,24.280243205031056,1,225.97534048049383,-0.8080291880679573,FYN
H3F3B,row_1535,1.8247556126822668e-06,0.0002319604592392712,24.013412064867396,1,225.97534048049383,0.4234757152284028,H3F3B
RBP7,row_2925,1.939289378017367e-06,0.0002424111722521709,23.883755419608992,1,225.97534048049383,-3.5075310015361976,RBP7
RAB37,row_7460,2.0788691056685315e-06,0.00025559866053301614,23.73583683087427,1,225.97534048049383,-1.5130541700320654,RAB37
CD163,row_966,2.2612205525897675e-06,0.0002735347442648912,23.55705227084631,1,225.97534048049383,-1.1183360165574734,CD163
HOPX,row_1649,2.3476368214183896e-06,0.0002751136900099675,23.47736147112478,1,225.97534048049383,-2.358829452540635,HOPX
CD44,row_640,2.3419615766714953e-06,0.0002751136900099675,23.482503268711394,1,225.97534048049383,-0.5457981676320119,CD44
EIF2S3,row_1830,2.3938167300921747e-06,0.00027620962270294327,23.435983862086285,1,225.97534048049383,-0.3621789426789924,EIF2S3
DNAJC7,row_1653,2.4728627761370907e-06,0.00028100713365194216,23.366997483922994,1,225.97534048049383,-0.37749414234454404,DNAJC7
CHD4,row_6141,2.554883129486792e-06,0.00028599438016643194,23.297734919564135,1,225.97534048049383,-0.5153590837064084,CHD4
TMIGD2,row_2862,2.815112825337028e-06,0.0003104903851474663,23.09200203367271,1,225.97534048049383,-2.672136829605154,TMIGD2
TRIM56,row_1871,2.956183699107393e-06,0.0003167528864729841,22.988378768094982,1,225.97534048049383,-1.042872755654325,TRIM56
ALOX15,row_5186,2.9563602737478517e-06,0.0003167528864729841,22.988252225984677,1,225.97534048049383,1.5542022698991016,ALOX15
SYTL2,row_3834,3.9991600825235295e-06,0.00041986603346249994,22.34931347782036,1,225.97534048049383,-3.307813116246068,SYTL2
ILF3-DT,row_1913,4.030713921239999e-06,0.00041986603346249994,22.33272356404831,1,225.97534048049383,0.7841169934960088,ILF3-DT
GZMB,row_589,4.399774501119812e-06,0.0004459230913297107,22.147893674250597,1,225.97534048049383,-3.235073511155399,GZMB
NRGN,row_1073,4.742979295175693e-06,0.00047429792951756935,21.9895849470028,1,225.97534048049383,-1.1773862511614877,NRGN
CST3,row_1451,4.944312330189154e-06,0.00048792555890024553,21.90202736370092,1,225.97534048049383,0.40719438930720614,CST3
AAK1,row_4205,5.092316521282743e-06,0.0004960048559690983,21.83993338512261,1,225.97534048049383,-0.802045080107547,AAK1
