gene_name,name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name
FMNL1,row_1348,1.5952166002041547e-06,0.00039299756162629556,25.37434815474835,1,126.12654786093321,1.1988140796149558,FMNL1
ITM2C,row_687,1.5444527676269302e-06,0.00039299756162629556,25.449341699164766,1,126.12654786093321,2.923565498547198,ITM2C
MATK,row_274,2.0654324806608054e-06,0.0004343490371899425,24.776895884126102,1,126.12654786093321,0.6992665087173834,MATK
FLNA,row_801,2.085760155528038e-06,0.0004343490371899425,24.75430123288265,1,126.12654786093321,0.8175534524098427,FLNA
RAB37,row_342,1.9596886215379313e-06,0.0004343490371899425,24.898210414295665,1,126.12654786093321,1.1324208040704125,RAB37
CTNNBIP1,row_1585,1.8482126046258933e-06,0.0004343490371899425,25.03354240506373,1,126.12654786093321,1.6673566861907703,CTNNBIP1
PTOV1,row_303,2.1156796745735142e-06,0.0004343490371899425,24.721449749593262,1,126.12654786093321,2.289686009895486,PTOV1
ABHD17A,row_286,2.701566809088776e-06,0.0005338159444855519,24.158947089756197,1,126.12654786093321,1.0726714206223842,ABHD17A
KHDRBS1,row_953,2.77352008825096e-06,0.0005338159444855519,24.09861472157277,1,126.12654786093321,1.1448210188049441,KHDRBS1
SDCBP,row_547,3.2666592228864616e-06,0.0005748386901073633,23.723652750461742,1,126.12654786093321,-1.172525209773764,SDCBP
SEMA4D,row_2460,3.096437041265981e-06,0.0005748386901073633,23.846144330103773,1,126.12654786093321,1.2886336807786565,SEMA4D
ISG20,row_176,3.4860847942020924e-06,0.0005964110068747414,23.57501290531209,1,126.12654786093321,-0.928155372035374,ISG20
STK10,row_1609,3.876406979935919e-06,0.0006452646105250087,23.332749754961583,1,126.12654786093321,0.8317089147704386,STK10
LYN,row_407,4.0780271574065105e-06,0.0006609623490122815,23.21717521858868,1,126.12654786093321,1.3344952343010723,LYN
RRAS2,row_2667,4.524633765146934e-06,0.0006966804839884992,22.980638910333354,1,126.12654786093321,1.7463400167108325,RRAS2
GZMK,row_101,5.032409377636764e-06,0.000713098548761226,22.73902942496695,1,126.12654786093321,-1.4097746038018546,GZMK
PLIN2,row_161,5.21016962075908e-06,0.000713098548761226,22.660279849265915,1,126.12654786093321,-1.2803877132337642,PLIN2
RASAL3,row_239,5.172668574680025e-06,0.000713098548761226,22.676662941217938,1,126.12654786093321,1.374501211790465,RASAL3
ITGAL,row_1048,5.3991834226987015e-06,0.0007229037108782892,22.57949283153207,1,126.12654786093321,0.8019892994813574,ITGAL
TLN1,row_237,5.889847988066794e-06,0.0007718207182660295,22.382527635857578,1,126.12654786093321,0.9616180185173572,TLN1
FERMT3,row_767,6.4955605318093715e-06,0.00083346161073779,22.161253736093737,1,126.12654786093321,0.956579380454009,FERMT3
PCBP1,row_1079,6.6395117866025e-06,0.0008345459815037714,22.11176186778063,1,126.12654786093321,0.9720416684171318,PCBP1
SIPA1,row_1153,7.324112491213754e-06,0.0009021841766677103,21.89043959601439,1,126.12654786093321,0.9952045301015693,SIPA1
CTDSP1,row_4439,7.893633519588918e-06,0.0009366812646529321,21.721829445900514,1,126.12654786093321,1.097819995188449,CTDSP1
CCAR2,row_3798,7.984642959332526e-06,0.0009366812646529321,21.696039460958175,1,126.12654786093321,1.9513114700051768,CCAR2
HIST1H2AL,row_1846,8.060416792759442e-06,0.0009366812646529321,21.674794418790537,1,126.12654786093321,3.387341075865709,HIST1H2AL
GPR171,row_615,8.442277303455926e-06,0.0009453815620360917,21.570737166767568,1,126.12654786093321,-1.8589791046414261,GPR171
HNRNPL,row_1494,8.389330046796863e-06,0.0009453815620360917,21.584875491945244,1,126.12654786093321,1.1382109266630882,HNRNPL
PTPRA,row_420,8.690463858848172e-06,0.0009557958376186767,21.505647246575247,1,126.12654786093321,1.6225948349662955,PTPRA
CST3,row_231,1.0074748805429736e-05,0.0010886031209235395,21.17416759891989,1,126.12654786093321,2.7539788338981532,CST3
ANXA6,row_249,1.0632363336722517e-05,0.001114309980907323,21.053588554613075,1,126.12654786093321,0.6810417432740844,ANXA6
SFPQ,row_390,1.0674507042301032e-05,0.001114309980907323,21.04473895405031,1,126.12654786093321,1.140580830856865,SFPQ
EEF1G,row_112,1.2674158229822957e-05,0.0013010023422913267,20.661270267875473,1,126.12654786093321,1.8468046150339232,EEF1G
SH3BP5,row_5371,1.3272075759248182e-05,0.0013184308806646703,20.558539837629,1,126.12654786093321,0.9077623171797694,SH3BP5
TXNL4A,row_745,1.3802786983242297e-05,0.0013493867465045922,20.471234134107007,1,126.12654786093321,1.437681239341086,TXNL4A
ARHGAP27,row_5697,1.4229456647806781e-05,0.0013693628670912808,20.403490600895587,1,126.12654786093321,1.331460002641372,ARHGAP27
IFNGR1,row_206,1.5758750215571788e-05,0.001493202193503179,20.176631569793358,1,126.12654786093321,-1.1661772488961597,IFNGR1
SPOCK2,row_147,1.7361593763825646e-05,0.0016201523635060932,19.961784755081464,1,126.12654786093321,-1.2936249440138212,SPOCK2
