gene_name,name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name
ACOT7,row_2307,3.368880098385425e-17,8.712620944100237e-15,92.51828801792318,1,143.04981986137807,3.1504723388022375,ACOT7
GINS2,row_451,4.965083806680269e-17,1.2412709516700673e-14,91.25758183501587,1,143.04981986137807,3.443223344740583,GINS2
MCM10,row_4422,6.352025869993837e-17,1.5367804524178637e-14,90.46043940345093,1,143.04981986137807,6.092758903240632,MCM10
SNRPD3,row_4658,1.1755851609150693e-16,2.7552777208946937e-14,88.48064686874707,1,143.04981986137807,0.8341152211336335,SNRPD3
IDH2,row_464,2.199241099840313e-16,4.949303835821581e-14,86.48392014326544,1,143.04981986137807,2.3225600107383806,IDH2
ORC6,row_758,6.654695621580328e-16,1.31342676741717e-13,82.99748215195262,1,143.04981986137807,4.446844824884165,ORC6
ATAD2,row_809,7.542294917923044e-16,1.4141802971105707e-13,82.60668207832275,1,143.04981986137807,2.712167078548903,ATAD2
KIFC1,row_2952,7.40990247323023e-16,1.4141802971105707e-13,82.66191577700376,1,143.04981986137807,2.956780737276614,KIFC1
SMC2,row_703,1.4580142175187126e-15,2.6035968169977015e-13,80.56077708308648,1,143.04981986137807,2.0465264711662132,SMC2
BIRC5,row_634,1.6841391891459631e-15,2.937452074091796e-13,80.11581187157364,1,143.04981986137807,5.9647636812058975,BIRC5
C19orf48,row_1776,2.1126399126314656e-15,3.6010907601672714e-13,79.41806905226609,1,143.04981986137807,2.0209520945129475,C19orf48
DTL,row_2351,3.3093143050960266e-15,5.515523841826711e-13,78.04327360291748,1,143.04981986137807,4.896786755415988,DTL
EZH2,row_2681,3.467489245877221e-15,5.653515074799817e-13,77.90075624771173,1,143.04981986137807,2.2391068270226224,EZH2
LIG1,row_1501,4.447063445192685e-15,6.948536633113571e-13,77.14287099008325,1,143.04981986137807,2.556529810500977,LIG1
MCM3,row_365,6.86530208746638e-15,1.050811543999956e-12,75.8266233732493,1,143.04981986137807,2.267428103241785,MCM3
TXN,row_3801,9.488614429103707e-15,1.3953844748681921e-12,74.8509944976894,1,143.04981986137807,1.031826558798085,TXN
MCM2,row_2071,9.345244600462741e-15,1.3953844748681921e-12,74.89679372948322,1,143.04981986137807,2.090013333903116,MCM2
CDKN3,row_3721,1.4098352019235647e-14,2.033416156620526e-12,73.66336271529214,1,143.04981986137807,5.1801252349046845,CDKN3
ATAD5,row_4603,1.7735221482609202e-14,2.5097011531994154e-12,72.97810602703878,1,143.04981986137807,3.275423802011551,ATAD5
MEA1,row_4349,2.6396461174244215e-14,3.599517432851484e-12,71.79598527914794,1,143.04981986137807,1.227671154877348,MEA1
RPA3,row_567,3.178124768032606e-14,4.181743115832376e-12,71.24644128889055,1,143.04981986137807,1.3280497203766626,RPA3
RMI2,row_1680,3.694732823642526e-14,4.777671754710163e-12,70.80166371778886,1,143.04981986137807,3.3261363883680435,RMI2
HPRT1,row_1836,3.9569595239006767e-14,5.030033293094081e-12,70.59949861801509,1,143.04981986137807,1.0970071438937385,HPRT1
SMC4,row_222,4.725692039244075e-14,5.907115049055093e-12,70.07696782743048,1,143.04981986137807,2.1841002705447177,SMC4
